City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,Norsup,VU,77.52,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
442,Minab,IR,89.92,haze,27.1467,57.0801,Bam campground
443,Seoul,KR,78.24,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
444,Zhuhai,CN,87.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
450,Estelle,US,88.0,few clouds,29.8458,-90.1067,Ohio
455,Cacahoatan,MX,80.8,overcast clouds,14.9833,-92.1667,Luna Maya Hostel & Wellness
456,Antequera,ES,82.38,scattered clouds,37.0194,-4.5612,Convento de la Magdalena
457,Patitirion,GR,79.38,clear sky,39.15,23.8667,Pension Votsi
458,Carira,BR,85.75,scattered clouds,-10.3608,-37.7011,Praca dos motorista
460,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
467,Nola,IT,80.51,overcast clouds,40.922,14.5329,Palazzo Giordano Bruno
470,Ajaccio,FR,82.45,few clouds,42.0,8.9167,Sole E Monte
471,Ixtapa,MX,88.23,few clouds,20.7,-105.2,hotel la terminal
474,Bucerias,MX,88.99,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
478,Linhares,BR,78.37,overcast clouds,-19.3911,-40.0722,Hotel Conceição
481,Miramar,US,84.22,light rain,25.9873,-80.2323,Stadium Hotel
483,Bodden Town,KY,89.98,scattered clouds,19.2833,-81.25,Will T Place
488,Vicuna,CL,82.78,broken clouds,-30.0319,-70.7081,Los Mosaicos
490,Camapua,BR,80.24,overcast clouds,-19.5314,-54.0439,Comercial Estrela
499,Isla Mujeres,MX,84.25,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
500,Tual,ID,81.01,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
501,Mabaruma,GY,89.44,broken clouds,8.2,-59.7833,Monty Brooms Guest House
510,Fuzhou,CN,76.89,scattered clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
514,Acari,PE,75.72,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
515,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
516,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
