City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Saldanha,ZA,2022-09-14 15:36:42,-33.0117,17.9442,80.65,78,48,10.92
94,Pandharpur,IN,2022-09-14 15:36:43,17.6667,75.3333,75.25,82,88,15.75
95,Kodiak,US,2022-09-14 15:36:43,57.79,-152.4072,47.71,87,100,4.61
96,Hof,DE,2022-09-14 15:36:43,50.3167,11.9167,64.45,91,100,6.91
97,Colonia,DE,2022-09-14 15:35:36,50.9333,6.95,63.97,88,100,2.3
98,Lahan,NP,2022-09-14 15:36:44,26.7296,86.4951,78.46,87,32,7.29
99,Sur,OM,2022-09-14 15:36:44,22.5667,59.5289,89.98,54,7,9.75
100,Faya,SA,2022-09-14 15:36:45,18.3851,42.4509,82.51,38,90,1.34
101,Kathu,TH,2022-09-14 15:36:45,7.9178,98.3332,85.69,99,11,9.53
102,Carangola,BR,2022-09-14 15:36:45,-20.7331,-42.0294,98.53,18,6,1.86
103,Puerto Leguizamo,CO,2022-09-14 15:36:46,-0.1934,-74.7819,90.59,48,72,4.63
104,Ponta Delgada,PT,2022-09-14 15:36:46,37.7333,-25.6667,77.72,88,75,10.36
105,Nieves,PH,2022-09-14 15:36:46,15.3274,120.9485,81.91,93,42,2.95
106,Katherine,AU,2022-09-14 15:36:47,-14.4667,132.2667,77.32,47,0,1.14
107,Olinda,BR,2022-09-14 15:36:16,-8.0089,-34.8553,80.33,74,75,8.05
108,Lavrentiya,RU,2022-09-14 15:36:47,65.5833,-171.0,42.58,96,96,2.59
109,Victoria,HK,2022-09-14 15:34:51,22.2855,114.1577,91.18,57,0,3.0
110,Severo-Kurilsk,RU,2022-09-14 15:36:47,50.6789,156.125,49.84,88,19,15.28
111,Mapastepec,MX,2022-09-14 15:36:48,15.4333,-92.9,84.09,70,96,2.93
112,Maamba,ZM,2022-09-14 15:36:48,-17.3667,27.15,75.99,28,13,4.63
113,Barrow,US,2022-09-14 15:36:49,71.2906,-156.7887,33.82,93,100,21.85
114,Fortuna,US,2022-09-14 15:36:49,40.5982,-124.1573,54.66,82,97,1.63
115,Springbok,ZA,2022-09-14 15:36:49,-29.6643,17.8865,76.06,9,0,9.89
116,Rio Gallegos,AR,2022-09-14 15:36:50,-51.6226,-69.2181,48.25,40,40,14.97
117,Shubarkuduk,KZ,2022-09-14 15:36:50,49.1447,56.4872,66.49,24,81,16.82
118,Lokosovo,RU,2022-09-14 15:33:14,61.1333,74.8167,47.01,87,95,5.35
119,Qostanay,KZ,2022-09-14 15:36:50,53.1667,63.5833,57.49,41,0,8.95
120,Cockburn Town,TC,2022-09-14 15:36:51,21.4612,-71.1419,84.43,70,100,15.1
121,Omboue,GA,2022-09-14 15:36:51,-1.5746,9.2618,79.2,71,47,11.48
122,San Cristobal,VE,2022-09-14 15:31:58,7.7669,-72.225,80.78,44,96,7.34
123,Saint-Augustin,CA,2022-09-14 15:36:51,51.226,-58.6502,65.34,64,55,10.47
124,Grindavik,IS,2022-09-14 15:33:09,63.8424,-22.4338,51.91,71,40,12.66
125,Saskylakh,RU,2022-09-14 15:36:52,71.9167,114.0833,30.76,82,92,4.68
126,Chengde,CN,2022-09-14 15:36:52,40.9725,117.9361,59.88,72,4,1.25
127,Kaitangata,NZ,2022-09-14 15:36:53,-46.2817,169.8464,37.36,89,25,8.55
128,Saint George,US,2022-09-14 15:35:19,37.1041,-113.5841,66.63,83,20,4.61
129,Pokhara,NP,2022-09-14 15:36:53,28.2333,83.9833,72.07,87,93,2.86
130,Chokurdakh,RU,2022-09-14 15:36:53,70.6333,147.9167,36.82,72,99,7.11
131,Katsuura,JP,2022-09-14 15:36:54,35.1333,140.3,73.62,75,100,16.89
132,Turukhansk,RU,2022-09-14 15:36:54,65.8167,87.9833,41.77,97,100,7.38
133,Arraial Do Cabo,BR,2022-09-14 15:36:54,-22.9661,-42.0278,71.56,88,75,19.57
134,Nyurba,RU,2022-09-14 15:36:54,63.2842,118.3319,44.31,80,100,9.44
135,Matara,LK,2022-09-14 15:36:55,5.9485,80.5353,77.47,90,53,6.24
136,Faanui,PF,2022-09-14 15:37:55,-16.4833,-151.75,77.25,74,39,21.61
137,Longyearbyen,SJ,2022-09-14 15:35:44,78.2186,15.6401,31.84,80,75,2.3
138,Nerchinskiy Zavod,RU,2022-09-14 15:37:56,51.3088,119.61,51.19,66,100,8.81
139,Cambrai,FR,2022-09-14 15:37:56,50.1667,3.4167,63.86,95,100,1.01
140,Ponta Do Sol,PT,2022-09-14 15:37:56,32.6667,-17.1,81.01,61,33,8.32
141,Huarmey,PE,2022-09-14 15:37:57,-10.0681,-78.1522,66.36,70,42,10.02
142,Xixiang,CN,2022-09-14 15:37:57,35.1628,112.865,71.2,63,23,3.04
143,Tautira,PF,2022-09-14 15:37:57,-17.7333,-149.15,76.96,72,99,19.51
144,Quatre Cocos,MU,2022-09-14 15:37:57,-20.2078,57.7625,71.71,78,68,10.92
