City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Sinnamary,GF,5.3833,-52.95,87.33,61,81,12.17,broken clouds
146,Portland,US,45.5234,-122.6762,66.99,76,100,4.61,overcast clouds
147,Mar Del Plata,AR,-38.0023,-57.5575,68.02,78,0,17.27,clear sky
148,Kozulka,UA,50.0351,23.797,59.11,94,99,3.96,light rain
149,Brae,GB,60.3964,-1.353,50.05,66,99,26.51,overcast clouds
150,Leningradskiy,RU,69.3833,178.4167,35.33,98,100,5.21,overcast clouds
151,Yining,CN,29.0361,114.5636,68.52,80,0,0.87,clear sky
152,Segezha,RU,63.7415,34.3222,52.48,90,100,13.94,overcast clouds
153,Isla Vista,US,34.4133,-119.861,75.99,70,40,5.75,scattered clouds
154,Pacific Grove,US,36.6177,-121.9166,69.35,89,100,8.99,mist
155,Carnarvon,AU,-24.8667,113.6333,64.17,67,94,23.24,overcast clouds
156,Touros,BR,-5.1989,-35.4608,83.5,57,26,14.54,scattered clouds
157,Cidreira,BR,-30.1811,-50.2056,64.51,72,48,8.84,scattered clouds
158,Marienburg,PL,54.0359,19.0266,58.03,59,64,11.7,broken clouds
159,Doha,QA,25.2867,51.5333,98.91,61,0,9.22,clear sky
160,Port Macquarie,AU,-31.4333,152.9167,57.88,100,100,0.0,light rain
161,Port Lincoln,AU,-34.7333,135.8667,53.96,86,54,24.99,broken clouds
162,Nchelenge,ZM,-9.3451,28.734,76.96,49,79,4.65,broken clouds
163,Tautira,PF,-17.7333,-149.15,75.36,76,91,23.64,light rain
164,Broome,US,42.2506,-75.833,64.67,58,0,10.36,clear sky
165,Alexander City,US,32.944,-85.9539,85.32,54,40,5.75,scattered clouds
166,Aguimes,ES,27.9054,-15.4461,77.63,57,20,27.63,few clouds
167,Vestmanna,FO,62.1564,-7.1664,45.52,76,40,24.16,scattered clouds
168,Jega,NG,12.2175,4.3792,77.23,90,96,8.79,light rain
169,Victoria,HK,22.2855,114.1577,87.33,65,19,4.0,few clouds
170,Belmonte,BR,-15.8631,-38.8828,81.12,65,38,11.07,scattered clouds
171,Te Anau,NZ,-45.4167,167.7167,39.69,95,96,1.61,overcast clouds
172,Swinoujscie,PL,53.9105,14.2471,55.18,64,37,20.96,scattered clouds
173,Kaabong,UG,3.4836,34.1492,71.51,51,100,11.74,overcast clouds
174,Pocatello,US,42.8713,-112.4455,66.18,59,40,8.01,scattered clouds
175,Hofn,IS,64.2539,-15.2082,48.22,71,20,5.75,few clouds
176,Port Blair,IN,11.6667,92.75,78.84,89,75,2.3,mist
177,Xuanhua,CN,40.6103,115.0447,65.44,59,0,1.41,clear sky
178,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,96.15,38,50,3.85,scattered clouds
179,Atikokan,CA,48.7555,-91.6216,59.05,95,100,6.26,overcast clouds
180,Lexington Park,US,38.2668,-76.4538,80.28,61,20,12.66,few clouds
181,Ouesso,CG,1.6136,16.0517,74.08,91,88,3.94,moderate rain
182,Galesong,ID,-5.3166,119.3661,73.42,65,72,4.0,broken clouds
183,Sosnovo-Ozerskoye,RU,52.5249,111.5418,36.18,96,86,5.26,overcast clouds
184,Marsh Harbour,BS,26.5412,-77.0636,85.87,67,97,9.82,overcast clouds
185,Upata,VE,8.0086,-62.3989,89.19,53,65,3.51,broken clouds
186,Fengcheng,CN,40.4536,124.0717,64.38,99,100,2.33,heavy intensity rain
187,Lazaro Cardenas,MX,17.9583,-102.2,85.77,66,81,5.77,broken clouds
188,San Julian,MX,21.0167,-102.1667,70.11,52,7,6.96,clear sky
189,Hasaki,JP,35.7333,140.8333,64.8,60,100,4.07,overcast clouds
190,Luorong,CN,24.4058,109.6086,79.81,69,75,1.7,broken clouds
191,Torbay,CA,47.6666,-52.7314,72.88,70,75,16.11,broken clouds
192,Avarua,CK,-21.2078,-159.775,73.45,68,75,10.36,broken clouds
193,Dikson,RU,73.5069,80.5464,37.4,70,89,26.57,overcast clouds
194,Gorin,RU,51.1983,136.6669,41.45,80,20,2.51,few clouds
195,Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,11.5,broken clouds
196,Zaysan,KZ,47.4667,84.8667,46.51,51,8,7.7,clear sky
197,Alexandria,EG,31.2156,29.9553,77.63,52,0,8.75,clear sky
198,Tecoanapa,MX,16.5167,-98.75,84.25,68,100,6.13,overcast clouds
199,Moose Factory,CA,51.2585,-80.6094,51.8,66,100,4.61,overcast clouds
200,Fruitvale,US,39.0817,-108.4968,71.53,71,40,5.75,scattered clouds
201,Provideniya,RU,64.3833,-173.3,46.54,86,100,11.41,overcast clouds
202,Moron,AR,-34.6534,-58.6198,72.01,50,0,8.97,clear sky
203,San Patricio,US,28.017,-97.5169,89.69,48,24,10.04,few clouds
204,Gornopravdinsk,RU,60.05,69.9,47.41,73,90,5.37,overcast clouds
205,Kanigoro,ID,-8.13,112.219,72.18,92,77,5.46,broken clouds
206,Harper,LR,4.375,-7.7169,77.83,80,91,9.95,overcast clouds
207,Muros,ES,42.7762,-9.0603,77.09,71,31,9.33,scattered clouds
208,Vizinga,RU,61.0749,50.1031,51.3,89,100,10.6,overcast clouds
209,Yangjiang,CN,21.85,111.9667,79.74,76,36,3.02,scattered clouds
210,Shangqiu,CN,34.45,115.65,66.88,89,39,6.98,scattered clouds
211,Muravlenko,RU,63.7898,74.523,48.56,77,100,9.62,overcast clouds
212,Marsabit,KE,2.3284,37.9899,70.29,48,91,27.65,overcast clouds
213,Praia,CV,14.9215,-23.5087,86.54,66,20,12.66,few clouds
214,Kangaba,ML,11.9333,-8.4167,83.52,74,64,1.57,broken clouds
215,Fukue,JP,32.6881,128.8419,79.61,85,1,7.76,clear sky
216,Faanui,PF,-16.4833,-151.75,77.2,76,32,23.96,light rain
217,Maun,BW,-19.9833,23.4167,74.88,20,0,11.63,clear sky
218,Talnakh,RU,69.4865,88.3972,37.67,83,83,28.32,broken clouds
219,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,100,14.97,light rain
220,Kavaratti,IN,10.5669,72.642,80.6,78,77,9.31,broken clouds
221,Vostok,RU,46.4856,135.8833,50.5,85,100,2.51,overcast clouds
222,Balkhash,KZ,46.844,74.9804,54.99,38,5,21.94,clear sky
223,Saint-Joseph,RE,-21.3667,55.6167,70.18,79,25,14.76,light rain
224,Faya,SA,18.3851,42.4509,71.71,32,35,5.48,scattered clouds
225,Latung,PH,5.5,120.8833,83.62,70,96,11.59,overcast clouds
226,Bardiyah,LY,31.7561,25.0865,76.53,56,0,6.62,clear sky
227,Airai,TL,-8.9266,125.4092,57.2,78,53,2.17,broken clouds
228,Christiansburg,US,37.1298,-80.4089,77.02,63,40,0.0,scattered clouds
229,Clyde River,CA,70.4692,-68.5914,41.23,87,75,4.61,broken clouds
230,Balabac,PH,7.9868,117.0645,78.28,87,100,13.0,overcast clouds
231,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,100,100,13.8,mist
232,Manavgat,TR,36.7867,31.4431,77.74,66,0,2.77,clear sky
233,Burgersdorp,ZA,-30.9977,26.3286,69.46,35,82,22.08,broken clouds
234,Beringovskiy,RU,63.05,179.3167,42.48,91,100,10.47,light rain
235,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,84,96,12.75,light rain
236,Ekuvukeni,ZA,-28.4675,30.1551,73.42,27,30,10.47,scattered clouds
237,Mulbagal,IN,13.1667,78.4,72.54,77,100,10.27,overcast clouds
238,Korfovskiy,RU,48.2183,135.0564,53.06,91,92,3.96,overcast clouds
239,San Jose,US,37.3394,-121.895,72.54,67,75,5.75,broken clouds
240,Anaco,VE,9.4389,-64.4728,87.4,56,55,2.46,broken clouds
241,Ikom,NG,5.9667,8.7063,74.55,97,100,4.41,moderate rain
242,Kirakira,SB,-10.4544,161.9205,78.1,83,12,4.65,few clouds
243,Waitati,NZ,-45.75,170.5667,42.8,71,90,8.08,overcast clouds
244,Nouadhibou,MR,20.931,-17.0347,78.78,65,40,20.71,sand
245,Tasiilaq,GL,65.6145,-37.6368,44.76,75,100,3.15,overcast clouds
246,Olafsvik,IS,64.8945,-23.7142,48.09,66,74,3.27,broken clouds
247,Codrington,AU,-38.2667,141.9667,45.0,93,70,11.99,broken clouds
248,Kjopsvik,NO,68.097,16.3742,51.67,79,100,6.42,overcast clouds
249,Salalah,OM,17.0151,54.0924,78.89,94,75,5.75,broken clouds
250,Kisangani,CD,0.5167,25.2,73.6,89,39,1.54,scattered clouds
251,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,30,0,16.11,clear sky
252,San Andres,CO,12.5847,-81.7006,82.42,89,75,9.22,broken clouds
253,Kudahuvadhoo,MV,2.6708,72.8944,81.1,71,36,3.15,scattered clouds
254,The Valley,AI,18.217,-63.0578,87.66,79,40,13.8,scattered clouds
255,Nanpiao,CN,41.0982,120.7479,61.09,96,100,4.16,overcast clouds
256,Cayenne,GF,4.9333,-52.3333,91.44,55,20,11.5,few clouds
257,Simoes,BR,-7.5989,-40.8178,98.53,17,29,11.03,scattered clouds
258,Richards Bay,ZA,-28.783,32.0377,70.57,73,0,12.03,clear sky
259,Plettenberg Bay,ZA,-34.0527,23.3716,60.35,81,91,0.98,overcast clouds
260,Vutcani,RO,46.4667,27.9667,73.24,56,89,6.87,overcast clouds
261,Bandarbeyla,SO,9.4942,50.8122,78.35,79,10,24.58,clear sky
262,Hovd,MN,48.0056,91.6419,42.51,57,80,0.56,broken clouds
263,Tura,IN,25.5198,90.2201,72.46,98,75,4.16,broken clouds
264,Morant Bay,JM,17.8815,-76.4093,89.71,64,90,11.56,overcast clouds
265,Narsaq,GL,60.9167,-46.05,52.02,53,63,2.84,broken clouds
266,Bud,US,39.447,-86.1758,81.91,67,2,5.35,clear sky
267,Bilibino,RU,68.0546,166.4372,30.78,88,97,4.83,overcast clouds
268,Tamandare,BR,-8.7597,-35.1047,79.2,62,40,10.47,scattered clouds
269,Riberalta,BO,-10.9833,-66.1,75.4,46,75,18.41,broken clouds
270,Marzuq,YE,14.4,46.4667,83.44,49,60,4.88,broken clouds
271,Dhidhdhoo,MV,6.8833,73.1,80.62,73,35,8.1,scattered clouds
272,Zhiryatino,RU,53.2228,33.7306,57.52,83,100,8.1,overcast clouds
273,Biak,ID,-0.9131,122.8766,74.26,86,100,5.97,overcast clouds
274,Bengkulu,ID,-3.8004,102.2655,74.75,91,74,4.14,broken clouds
275,Omboue,GA,-1.5746,9.2618,76.1,81,99,8.99,overcast clouds
276,Taoudenni,ML,22.6783,-3.9836,107.19,6,0,11.32,clear sky
277,Lerwick,GB,60.1545,-1.1494,50.0,68,100,26.91,overcast clouds
278,Eyl,SO,7.9803,49.8164,78.37,75,22,22.68,few clouds
279,Ust-Maya,RU,60.4167,134.5333,39.72,89,97,2.55,overcast clouds
280,Mount Isa,AU,-20.7333,139.5,74.97,35,19,6.91,light rain
281,Cherskiy,RU,68.75,161.3,32.43,94,100,7.9,overcast clouds
282,Fasa,IR,28.9383,53.6482,83.44,17,0,9.22,clear sky
283,San Cristobal,VE,7.7669,-72.225,86.18,39,21,8.41,few clouds
284,Batagay-Alyta,RU,67.8006,130.4114,26.56,94,51,1.5,broken clouds
285,Cabedelo,BR,-6.9811,-34.8339,83.07,73,90,15.86,overcast clouds
286,Diapaga,BF,12.0708,1.7889,74.32,95,96,6.82,moderate rain
287,Santa Maria Del Oro,MX,25.9333,-105.3667,77.2,41,0,5.3,clear sky
288,Tongren,CN,27.7172,109.1853,71.31,67,14,1.63,few clouds
289,Pudozh,RU,61.8099,36.5345,49.98,96,100,7.02,overcast clouds
290,Bemidji,US,47.4736,-94.8803,70.18,85,40,0.0,thunderstorm
291,Norman Wells,CA,65.282,-126.8329,48.24,81,100,5.75,overcast clouds
292,Kuytun,RU,54.3419,101.5036,44.51,81,100,4.63,overcast clouds
293,Camacha,PT,33.0833,-16.3333,72.82,83,40,13.8,scattered clouds
294,Mahon,ES,39.8885,4.2658,81.16,74,40,5.75,scattered clouds
295,Caravelas,BR,-17.7125,-39.2481,81.41,60,61,9.1,broken clouds
296,Waitara,NZ,-38.925,174.25,52.23,78,67,15.59,broken clouds
297,Ancud,CL,-41.8697,-73.8203,50.23,91,100,19.06,moderate rain
298,Miri,MY,4.4148,114.0089,78.94,94,40,4.61,scattered clouds
299,Samarai,PG,-10.6167,150.6667,79.47,84,43,12.93,scattered clouds
300,Bhatkal,IN,13.9667,74.5667,76.75,89,95,6.71,overcast clouds
301,Lasa,IT,46.6166,10.7002,70.68,91,69,6.29,broken clouds
302,Derzhavinsk,KZ,51.1,66.3167,54.55,32,96,15.03,overcast clouds
303,Baillif,GP,16.0202,-61.7463,85.5,71,100,6.93,overcast clouds
304,Saldanha,ZA,-33.0117,17.9442,60.85,90,100,10.07,overcast clouds
305,Lagoa,PT,39.05,-27.9833,73.06,87,100,25.21,light rain
306,Staryy Nadym,RU,65.6118,72.6842,48.13,75,100,11.3,overcast clouds
307,Port Hardy,CA,50.6996,-127.4199,59.18,72,75,2.3,broken clouds
308,Kahului,US,20.8947,-156.47,79.84,69,20,5.01,few clouds
309,Scharnstein,AT,47.9044,13.9601,63.19,93,92,7.7,moderate rain
310,Barranca,PE,-10.75,-77.7667,64.94,69,59,8.12,broken clouds
311,Omsukchan,RU,62.5333,155.8,28.81,85,23,5.35,few clouds
312,Abu Zabad,SD,12.35,29.25,80.29,67,91,6.71,light rain
313,Tessalit,ML,20.1986,1.0114,101.34,10,85,8.79,overcast clouds
314,Manokwari,ID,-0.8667,134.0833,76.93,77,22,2.62,few clouds
315,Ambilobe,MG,-13.2,49.05,69.21,62,33,6.69,scattered clouds
316,Norfolk,US,42.1668,-71.2495,71.78,48,0,10.36,clear sky
317,Nara,JP,34.6851,135.8049,78.12,81,22,6.98,few clouds
318,Olean,US,42.0776,-78.4297,66.88,58,0,4.61,clear sky
319,Half Moon Bay,US,37.4636,-122.4286,71.58,74,100,9.22,overcast clouds
320,Salsomaggiore Terme,IT,44.8148,9.9796,80.91,66,5,8.68,clear sky
321,La Ronge,CA,55.1001,-105.2842,61.02,55,0,4.61,clear sky
322,Kawalu,ID,-7.3817,108.2082,70.54,97,75,0.89,broken clouds
323,Kihei,US,20.785,-156.4656,79.84,80,20,0.0,few clouds
324,Yarkovo,RU,57.4028,67.0786,50.74,63,48,6.35,scattered clouds
325,Grand Gaube,MU,-20.0064,57.6608,72.0,66,1,7.0,clear sky
326,Banda Aceh,ID,5.5577,95.3222,79.02,83,97,4.76,overcast clouds
327,Necochea,AR,-38.5473,-58.7368,69.93,42,33,16.6,scattered clouds
328,Dutlwe,BW,-23.9833,23.9,69.13,21,0,6.53,clear sky
329,Evensk,RU,61.95,159.2333,39.18,62,79,9.08,broken clouds
330,Zambezi,ZM,-13.5432,23.1047,76.24,23,58,5.44,broken clouds
331,Tadine,NC,-21.55,167.8833,68.74,67,100,8.81,overcast clouds
332,Chapais,CA,49.7834,-74.8492,47.98,39,48,12.66,scattered clouds
333,Souillac,MU,-20.5167,57.5167,71.98,73,40,17.27,scattered clouds
334,Denpasar,ID,-8.65,115.2167,78.46,94,40,12.66,scattered clouds
335,Trudarmeyskiy,RU,54.132,86.4098,44.42,81,40,4.76,scattered clouds
336,Merritt Island,US,28.5392,-80.672,89.69,62,0,8.05,clear sky
337,Pingliang,CN,35.5392,106.6861,59.18,88,52,4.97,broken clouds
338,Oranjestad,AW,12.524,-70.027,91.35,58,40,19.57,scattered clouds
339,Bethel,US,41.3712,-73.414,71.55,45,0,9.22,clear sky
340,Taltal,CL,-25.4,-70.4833,62.64,63,16,4.72,few clouds
341,Ilo,PE,-17.6394,-71.3375,59.86,82,100,8.05,overcast clouds
342,Midleton,IE,51.9153,-8.1805,60.66,78,91,7.78,overcast clouds
343,Dingle,PH,10.9995,122.6711,75.22,92,89,7.7,overcast clouds
344,Bataipora,BR,-22.2953,-53.2711,77.32,42,86,6.2,overcast clouds
345,Guerrero Negro,MX,27.9769,-114.0611,74.01,66,34,16.73,scattered clouds
346,Kattivakkam,IN,13.2167,80.3167,84.29,74,100,9.6,overcast clouds
347,Garowe,SO,8.4054,48.4845,85.12,41,47,20.83,scattered clouds
